Nom nbSommets valOpt temps itérations
quatreSommets.txt 4 3 0 100
cinqSommets.txt 5 6 0 100
dixSommets.txt 10 18 2 100
quinzeSommets.txt 15 60 11 100
dixSeptSommets.txt 17 81 10 100
vingtSommets.txt 20 55 18 100
vingtEtunSommets.txt 21 143 45 100
vingtDeuxSommets.txt 22 143 55 100
vingtTroisSommets.txt 23 156 33 100
vingtQuatreSommets.txt 24 173 76 100
vingtCinqSommets.txt 25 204 90 100
trenteSommets.txt 30 259 188 100
cinquanteSommets.txt 50 267 686 100
RG_50_5.txt 50 15.2 598 100
RG_23_5.txt 23 2.68 27 100
huitSommets_12.txt 8 3.5 0 100
deuxTriangles.txt 6 3 0 100
kl_graph.txt 6 1 0 100
huitSommets_11.txt 8 7 0 100
RG_13_3.txt 13 0.12 5 100
dixSommets_2.txt 10 4.4 2 100
CG_25_4.txt 25 5.7 75 100
cG_25_4.txt 25 5.45 76 100
random_10.txt 10 5.58 2 100
huitSommets_weight.txt 8 2.9 0 100
test_cluster.txt 28 12.65 131 100
huitSommets.txt 8 6 0 100
test_gno.txt 28 52 132 100
28_3_clusters_ClusterGraph.txt 28 12.65 132 100
10_3_graph.txt 28 12.65 131 100
28_3_clusters.txt 28 12.65 131 100
28_3_clusters_SparseCluster.txt 28 0.4 123 100
28_3_clusters_SomeCluster.txt 28 1.125 124 100
28_3_clusters_EquiCluster.txt 28 6.8 127 100
