Nom nbSommets valOpt temps itérations
quatreSommets.txt 4 3 0 100
cinqSommets.txt 5 6 0 100
dixSommets.txt 10 18 0 100
quinzeSommets.txt 15 60 0 100
dixSeptSommets.txt 17 81 0 100
vingtSommets.txt 20 55 0 100
vingtEtunSommets.txt 21 143 0 100
vingtDeuxSommets.txt 22 143 0 100
vingtTroisSommets.txt 23 156 0 100
vingtQuatreSommets.txt 24 173 0 100
vingtCinqSommets.txt 25 204 0 100
trenteSommets.txt 30 259 3 100
cinquanteSommets.txt 50 273 10 100
RG_50_5.txt 50 15 11 100
RG_23_5.txt 23 2.68 1 100
huitSommets_12.txt 8 3.5 0 100
deuxTriangles.txt 6 3 0 100
kl_graph.txt 6 1 0 100
huitSommets_11.txt 8 7 0 100
RG_13_3.txt 13 0.12 0 100
dixSommets_2.txt 10 4.4 0 100
CG_25_4.txt 25 6 1 100
cG_25_4.txt 25 5.5 1 100
random_10.txt 10 5.58 0 100
huitSommets_weight.txt 8 2.9 0 100
test_cluster.txt 28 12.65 2 100
huitSommets.txt 8 6 0 100
test_gno.txt 28 52 2 100
28_3_clusters_ClusterGraph.txt 28 12.65 2 100
10_3_graph.txt 28 12.65 2 100
28_3_clusters.txt 28 12.65 2 100
28_3_clusters_SparseCluster.txt 28 0.4 2 100
28_3_clusters_SomeCluster.txt 28 1.125 2 100
28_3_clusters_EquiCluster.txt 28 6.8 2 100
