Nom nbSommets valOpt temps
quatreSommets.txt 4 1 2
cinqSommets.txt 5 4 2
dixSommets.txt 10 12 13
quinzeSommets.txt 15 43 33
dixSeptSommets.txt 17 60 23
vingtSommets.txt 20 39 79
vingtEtunSommets.txt 21 107 30
vingtDeuxSommets.txt 22 103 67
vingtTroisSommets.txt 23 116 38
vingtQuatreSommets.txt 24 129 60
vingtCinqSommets.txt 25 152 42
trenteSommets.txt 30 188 202
cinquanteSommets.txt 50 191 1212
centSommets.txt 100 840 10588
cinqCentSommets.txt 500 2888 1415068
milleSommets.txt 1000 3518 11995548
RG_50_5.txt 50 8.65 1382
RG_23_5.txt 23 1.32 90
connex_10.txt 9 1 6
huitSommets_12.txt 8 0.8 9
deuxTriangles.txt 6 1 5
kl_graph.txt 6 0 5
huitSommets_11.txt 8 4 9
centSommets_3.txt 100 133.25 14565
RG_13_3.txt 13 1.37 19
dixSommets_2.txt 10 0.1 18
CG_25_4.txt 25 0.65 127
cG_25_4.txt 25 0.2 133
random_10.txt 10 0.11 20
huitSommets_weight.txt 8 0.3 11
test_cluster.txt 28 14.475 283
huitSommets.txt 8 2 10
test_gno.txt 28 43 244
28_3_clusters_ClusterGraph.txt 28 14.475 265
10_3_graph.txt 28 14.475 277
28_3_clusters.txt 28 14.475 277
28_3_clusters_SparseCluster.txt 28 7.2 243
28_3_clusters_SomeCluster.txt 28 7.55 246
28_3_clusters_EquiCluster.txt 28 11.575 260
football.txt 115 61 20461
