Nom nbSommets valOpt temps
quatreSommets.txt 4 3 1
cinqSommets.txt 5 6 2
dixSommets.txt 10 18 11
quinzeSommets.txt 15 60 41
dixSeptSommets.txt 17 81 22
vingtSommets.txt 20 55 63
vingtEtunSommets.txt 21 143 61
vingtDeuxSommets.txt 22 143 57
vingtTroisSommets.txt 23 156 38
vingtQuatreSommets.txt 24 173 78
vingtCinqSommets.txt 25 204 37
trenteSommets.txt 30 259 312
cinquanteSommets.txt 50 273 993
centSommets.txt 100 1148 8185
cinqCentSommets.txt 500 3935 2181451
RG_50_5.txt 50 15.5 1140
RG_23_5.txt 23 2.68 103
connex_10.txt 9 2 12
huitSommets_12.txt 8 3.5 7
deuxTriangles.txt 6 3 6
kl_graph.txt 6 1 6
huitSommets_11.txt 8 7 5
centSommets_3.txt 100 27.85 12648
RG_13_3.txt 13 0.12 24
dixSommets_2.txt 10 4.4 10
CG_25_4.txt 25 5.85 127
cG_25_4.txt 25 5.6 130
random_10.txt 10 5.58 10
huitSommets_weight.txt 8 2.9 7
test_cluster.txt 28 12.65 270
huitSommets.txt 8 6 6
test_gno.txt 28 52 235
28_3_clusters_ClusterGraph.txt 28 12.65 263
10_3_graph.txt 28 12.65 269
28_3_clusters.txt 28 12.65 259
28_3_clusters_SparseCluster.txt 28 0.4 250
28_3_clusters_SomeCluster.txt 28 1.125 235
28_3_clusters_EquiCluster.txt 28 6.8 259
football.txt 115 104 24925
