Nom nbSommets valOpt temps
quatreSommets.txt 4 2 3
cinqSommets.txt 5 7 2
dixSommets.txt 10 22 11
quinzeSommets.txt 15 70 20
dixSeptSommets.txt 17 92 18
vingtSommets.txt 20 62 122
vingtEtunSommets.txt 21 162 24
vingtDeuxSommets.txt 22 163 62
vingtTroisSommets.txt 23 176 34
vingtQuatreSommets.txt 24 194 104
vingtCinqSommets.txt 25 230 33
trenteSommets.txt 30 297 180
cinquanteSommets.txt 50 312 1262
centSommets.txt 100 1316 15260
cinqCentSommets.txt 500 4530 2367789
RG_50_5.txt 50 16.1 1458
RG_23_5.txt 23 2.21 101
connex_10.txt 9 4 7
huitSommets_12.txt 8 3.7 14
deuxTriangles.txt 6 5 3
kl_graph.txt 6 2 4
huitSommets_11.txt 8 8 11
centSommets_3.txt 100 321.7 18246
RG_13_3.txt 13 4.82 18
dixSommets_2.txt 10 5.1 14
CG_25_4.txt 25 1.65 142
cG_25_4.txt 25 0.5 134
random_10.txt 10 6.91 15
huitSommets_weight.txt 8 2.9 15
test_cluster.txt 28 27.925 442
huitSommets.txt 8 6 13
test_gno.txt 28 72 394
28_3_clusters_ClusterGraph.txt 28 29.025 433
10_3_graph.txt 28 29.4 434
28_3_clusters.txt 28 29.4 434
28_3_clusters_SparseCluster.txt 28 19.3 393
28_3_clusters_SomeCluster.txt 28 19.9 401
28_3_clusters_EquiCluster.txt 28 24.025 409
football.txt 115 149 28267
